avg_from_each_performance_log_file,,,,,,,,,,
platform,resolution,optical_flow_inference,run,sync_diff_ms,est0_ms,est1_ms,triangulate_ms,smooth_ms,total_ms,total_fps
raspberry_pi_5,1280x720,1,1,12.74128324,100.0241217,98.16647739,7.053925444,0.5829718857,128.2121172,7.799574811
raspberry_pi_5,1280x720,1,2,10.77946242,103.8667669,104.502939,7.264297285,0.7254039146,132.5744955,7.542928947
raspberry_pi_5,1280x720,1,3,11.22198472,100.9936428,101.5863151,6.956792303,0.7434506475,129.9499181,7.695272263
raspberry_pi_5,1280x720,1,4,11.22198472,100.9936428,101.5863151,6.956792303,0.7434506475,129.9499181,7.695272263
raspberry_pi_5,1280x720,1,5,11.22198472,100.9936428,101.5863151,6.956792303,0.7434506475,129.9499181,7.695272263
raspberry_pi_5,640x480,1,1,10.44746642,84.42000409,85.2581913,7.15837381,0.7054969454,107.5554579,9.297529102
raspberry_pi_5,640x480,1,2,10.37914678,86.48182516,85.98516909,5.662037964,0.6174108508,106.5622373,9.384187357
raspberry_pi_5,640x480,1,3,9.788103442,84.98287567,85.42030875,4.895152919,0.5791124655,103.3670538,9.67426238
raspberry_pi_5,640x480,1,4,10.19654915,88.02942663,87.70278138,4.995246441,0.540283682,110.3274399,9.063928253
raspberry_pi_5,640x480,1,5,9.577582109,84.76094436,86.56328338,5.967126797,0.5516474553,107.6581238,9.288662709
raspberry_pi_5,1280x720,2,1,7.313891052,49.20674629,48.35728916,8.123429527,0.7258451954,72.75194784,13.74533644
raspberry_pi_5,1280x720,2,2,8.859500304,49.59494217,49.36529962,6.579788849,0.6721176853,72.62134923,13.77005537
raspberry_pi_5,1280x720,2,3,8.368418917,49.70783146,49.35682172,7.343904552,0.8312045762,74.26469309,13.46534885
raspberry_pi_5,1280x720,2,4,7.129839026,50.89415157,49.68684089,8.911451018,0.8356666766,75.52202672,13.24117007
raspberry_pi_5,1280x720,2,5,7.873325641,48.69143353,46.06459159,6.733159547,0.4498900411,70.32937809,14.21880908
raspberry_pi_5,1280x720,4,1,6.561781937,32.33980831,31.07015139,7.412657466,0.8648968225,56.11047179,17.82198524
raspberry_pi_5,1280x720,4,2,7.291666509,31.08817661,31.07858855,8.242692608,0.6650700096,53.99518199,18.52017093
raspberry_pi_5,1280x720,4,3,7.208745257,30.90114252,29.44030611,7.673970537,0.7536591278,53.76605742,18.59909482
raspberry_pi_5,1280x720,4,4,6.478108842,31.862366,29.96328522,7.600255177,0.7708600851,54.41158585,18.37843879
raspberry_pi_5,1280x720,4,5,7.759648413,31.02593533,29.83281023,7.514570742,0.6160169592,52.39388549,19.08619662
laptop,1280x720,1,1,3.907332438,25.38337724,25.9067187,3.596095935,0.2145674796,35.53211003,28.14355802
laptop,1280x720,1,2,4.341252974,25.50464259,25.69405932,3.164191635,0.1988832702,35.24629658,28.37177511
laptop,1280x720,1,3,4.000204432,24.81604699,25.39790075,3.461855639,0.2396921057,34.67754511,28.83710472
laptop,1280x720,1,4,3.995102786,25.11130989,25.82552928,3.612958175,0.1853087451,35.42550532,28.22824942
laptop,1280x720,1,5,4.07039009,25.10542545,26.17562212,3.78953394,0.2529636358,35.99430667,27.78217148
laptop,640x480,1,1,2.819033093,20.59642061,21.75009152,3.110508182,0.1903606061,29.25164455,34.18611212
laptop,640x480,1,2,2.911868639,21.13450038,21.29986426,2.596958174,0.1339334608,28.53488365,35.04482486
laptop,640x480,1,3,3.00834375,21.06288121,21.88065697,3.323849697,0.1756206063,30.50114182,32.78565786
laptop,640x480,1,4,3.046475492,20.8619875,21.42612102,2.868404261,0.1449678977,28.93209545,34.56369075
laptop,640x480,1,5,2.923720593,20.60960398,21.51131837,2.496106629,0.1652357957,28.92125341,34.57664804
desktop,1280x720,1,1,1.728431318,19.81920635,19.43682235,0.914864234,0.04810117747,23.38458518,42.76321314
desktop,1280x720,1,2,1.643971116,20.11126185,19.71544769,0.934693847,0.05517261461,24.76323415,40.38244737
desktop,1280x720,1,3,1.735813549,20.46345723,20.00591662,0.896313538,0.04903076987,25.00275877,39.99558646
desktop,1280x720,1,4,1.960908553,20.82475539,20.48193233,0.9171666673,0.04820400916,24.8948391,40.1689682
desktop,1280x720,1,5,1.736047608,19.78144795,19.14836849,0.9821931503,0.047476165,25.61414575,39.04092721
desktop,640x480,1,1,1.388285742,18.59759893,18.36427036,0.8904722818,0.04159211097,23.65524435,42.27392392
desktop,640x480,1,2,1.416794452,17.07801621,16.85134803,0.7460701504,0.0435398489,21.13629697,47.31197718
desktop,640x480,1,3,1.228410489,17.29113687,17.02095232,0.6998007718,0.04606602261,20.82274266,48.02441331
desktop,640x480,1,4,1.644630569,15.3561568,15.20250651,0.6465881659,0.04513905306,18.89365325,52.92782643
desktop,640x480,1,5,1.458088703,18.50555102,18.07654985,0.860816764,0.04293075752,23.60198863,42.36931115
