resolution,joint,view,lowest,highest
1280x720,right_elbow,front,87.6,89.9
1280x720,right_elbow,front,86.3,89.5
1280x720,right_elbow,front,87.5,91.4
1280x720,right_elbow,front,77.7,81.4
1280x720,right_elbow,front,81.4,87.8
1280x720,left_elbow,front,80.4,85.6
1280x720,left_elbow,front,84.2,88.4
1280x720,left_elbow,front,81.4,84.2
1280x720,left_elbow,front,83.3,87.3
1280x720,left_elbow,front,86.9,87.2
1280x720,right_elbow,side,94.5,97.3
1280x720,right_elbow,side,96,97.4
1280x720,right_elbow,side,96.5,97.8
1280x720,right_elbow,side,94,98.5
1280x720,right_elbow,side,93.9,97.5
1280x720,left_elbow,side,83.3,92.2
1280x720,left_elbow,side,83.5,87.1
1280x720,left_elbow,side,86.1,97.2
1280x720,left_elbow,side,88,92.6
1280x720,left_elbow,side,88.3,91.7
1280x720,right_knee,front,109.3,128.5
1280x720,right_knee,front,105.5,132
1280x720,right_knee,front,100.1,168.9
1280x720,right_knee,front,108.4,148.7
1280x720,right_knee,front,115.5,159.1
1280x720,left_knee,front,101.3,149.2
1280x720,left_knee,front,101.9,149.1
1280x720,left_knee,front,94,149.5
1280x720,left_knee,front,92.1,153.4
1280x720,left_knee,front,89.8,132.4
1280x720,right_knee,side,86.4,98.3
1280x720,right_knee,side,82.8,89.7
1280x720,right_knee,side,84.9,94.3
1280x720,right_knee,side,88.5,95.8
1280x720,right_knee,side,86.4,93.3
1280x720,left_knee,side,85.7,96
1280x720,left_knee,side,89,103.2
1280x720,left_knee,side,83.5,92
1280x720,left_knee,side,90.9,100.1
1280x720,left_knee,side,85.5,92.8
1280x720,right_hip,side,92.8,96.7
1280x720,right_hip,side,99.3,102.4
1280x720,right_hip,side,99.8,107.7
1280x720,right_hip,side,94.5,102.9
1280x720,right_hip,side,96.4,101.5
1280x720,left_hip,side,106.7,109.1
1280x720,left_hip,side,102.9,108.3
1280x720,left_hip,side,96.9,104.4
1280x720,left_hip,side,97.5,106.3
1280x720,left_hip,side,103.6,113.5
640x480,right_elbow,front,79.4,82.5
640x480,right_elbow,front,86.1,109.6
640x480,right_elbow,front,71,91.2
640x480,right_elbow,front,79.8,132.3
640x480,right_elbow,front,67.8,89.2
640x480,left_elbow,front,101.2,119.3
640x480,left_elbow,front,68.7,102.4
640x480,left_elbow,front,84.4,88.7
640x480,left_elbow,front,95.5,113.4
640x480,left_elbow,front,88.1,107.1
640x480,right_elbow,side,84.4,91
640x480,right_elbow,side,78.7,95.3
640x480,right_elbow,side,83.7,112.1
640x480,right_elbow,side,86.3,94.2
640x480,right_elbow,side,87.1,98.4
640x480,left_elbow,side,94.1,104
640x480,left_elbow,side,89.3,95.1
640x480,left_elbow,side,88.6,95.3
640x480,left_elbow,side,94.1,99.5
640x480,left_elbow,side,93.1,98.4
640x480,right_knee,front,58.5,60.7
640x480,right_knee,front,68,73.3
640x480,right_knee,front,74.3,76.5
640x480,right_knee,front,151.4,168.5
640x480,right_knee,front,98.4,117.4
640x480,left_knee,front,138.1,153
640x480,left_knee,front,80.2,85.6
640x480,left_knee,front,75.4,86.8
640x480,left_knee,front,90.4,101.3
640x480,left_knee,front,91.7,103
640x480,right_knee,side,86.3,93.5
640x480,right_knee,side,85.4,92
640x480,right_knee,side,84.8,98.9
640x480,right_knee,side,92.1,98.2
640x480,right_knee,side,80.9,93.9
640x480,left_knee,side,82.1,99.8
640x480,left_knee,side,91.9,101.5
640x480,left_knee,side,94.8,97.8
640x480,left_knee,side,76.6,91.9
640x480,left_knee,side,65.9,85
640x480,right_hip,side,83.5,91.2
640x480,right_hip,side,70.9,75.1
640x480,right_hip,side,84.7,97.8
640x480,right_hip,side,72.8,93.4
640x480,right_hip,side,88.2,92.5
640x480,left_hip,side,104.1,108.1
640x480,left_hip,side,100.3,103.7
640x480,left_hip,side,93.8,98.2
640x480,left_hip,side,81.7,105.3
640x480,left_hip,side,99.7,104
